Original_Target,Suggested_Simplified_Target and Disease Common Name,Target_Type,Causal organism,Count,Examples,Notes,,,,Count:,4092
Carmine Mite,Mites,Insect,,233,ACETO BIFENTHRIN 2 EC; A110.04; A110.03; A110.08; A110.05,,,,,,
Carmine mite,Mites,Insect,,27,Bifenture EC Agricultural Insecticide; HERO Insecticide; Liberty BIFEN-IMIDA 2-1 SC; F6126 EW Insecticide; Sharda Bifenthrin 2E,,,,,,
carmine mite,Mites,Insect,,7,Aceto Bifenthrin 2E; Tundra EC,,,,,,
Carmine mites,Mites,Insect,,2,Nufarm Abamectin 0.15 EC Insecticide; AgSaver Abamectin 0.15 EC,,,,,,
Carmine Spider Mite,Mites,Insect,,25,Aceto Etoxazole 72% WDG Miticide; Avalaire Etox 72 WSB; Aceto Etoxazole 72% WSP Miticide; A221.01; Aceto Etoxazole 72% WP WSB Miticide,,,,,,
Carmine spider mite,Mites,Insect,,54,A131.01; A131.02; A131.04; ABACUS Agricultural Miticide/Insecticide; A131.03,,,,,,
carmine spider mite,Mites,Insect,,1,ABBA 0.15 ME,,,,,,
Carmine spider mites,Mites,Insect,,1,Nufarm Abamectin 0.15 EC Insecticide,,,,,,
Carmine),Carmine),Other,,1,Discipline 2EC,Review needed - unclear target type,,,,,
Carolina,Carolina,Other,,4,Dimension® 0.25G,Review needed - unclear target type,,,,,
Carolina Geranium,Carolina Geranium,Other,,6,A313.01; LPI.A011; Comet Selective Herbicide,Review needed - unclear target type,,,,,
Carolina geranium,Carolina geranium,Other,,14,Willowood OxyFlo 2EC; Quali-Pro Dithiopyr L; OBTAIN 40% WDG Herbicide; Liberty Fluroxypyr Herbicide,Review needed - unclear target type,,,,,
Carolina Grasshopper,Carolina Grasshopper,Insect,,1,TNO RTU,,,,,,
carpenter,carpenter,Other,,1,Agri-Flex Miticide/Insecticide,Review needed - unclear target type,,,,,
Carpenter and Pharaoh ants),Carpenter and Pharaoh ants),Insect,,3,Diafil® 610,,,,,,
carpenter and pharaoh ants),carpenter and pharaoh ants),Insect,,1,Acephate® 97UP Insecticide,,,,,,
Carpenter Ants,Carpenter Ants,Insect,,16,Synergy Brand,,,,,,
carpenter ants and pharaoh ants),carpenter ants and pharaoh ants),Insect,,4,"GET-A-BUG® Snail, Slug & Insect Killer",,,,,,
Carpetweed,Weeds,Weed,,144,Avalaire Metribuzin 4 F; A342.01; A229.02; A342.02; A335.05,,,,,,
carpetweed,Weeds,Weed,,29,Chemsico Herbicide Formula D; Quali-Pro Dithiopyr L; GoalTender; Dimension® 0.25G,,,,,,
Carpini Spider,Carpini Spider,Insect,,1,Vendex 50WP Miticide,,,,,,
Carrot,Rot Diseases,Disease,,4,Velpar DF CU; Velpar® L CU,,,,,,
Carrot rust fly,Flies,Insect,,1,Bonide Vegetable Floral Dust,,,,,,
Carrot Weevil,Carrot Weevil,Insect,,32,EVERCIDE® Emulsifiable Concentrate 28061; Bonide® RTU Vegetable & Ornamental Insect Spray; Diafil® 610; EVERCIDE Emulsifiable Concentrate 2668; BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE,,,,,,
Carrot weevil,Carrot weevil,Insect,,10,MGK 74731; MGK® 74721; Cheminova Malathion 57% Low VOC; FYFANON MALATHION INSECTICIDE; Malathion 8 Aquamul,,,,,,
carrot weevil,carrot weevil,Insect,,1,Fyfanon 57% EC,,,,,,
Carrot Weevils,Carrot Weevils,Insect,,18,LN 1% PY,,,,,,
Carrot weevils,Carrot weevils,Insect,,2,Drexel Malathion 5EC; Envi EC-X Emulsifiable Concentrate Insecticide,,,,,,
Carrot weevils (adults),Carrot weevils (adults),Insect,,2,RD 1648 Insecticide; RD 1649 Insecticide,,,,,,
Casebearer,Casebearer,Other,,2,ACECAP Systemic Insecticide Implants,Review needed - unclear target type,,,,,
Casebearers,Casebearers,Other,,6,DEBUG OPTIMO; Allityn Insect Repellent; Bonide Systemic Insect Control,Review needed - unclear target type,,,,,
Cashew leaffooted bug,Cashew leaffooted bug,Insect,,2,AZ Lambda 2ME,,,,,,
cashew leaffooted bug,cashew leaffooted bug,Insect,,2,LIBERTY LAMBDA 2 ME,,,,,,
Cassia occidentalis,Cassia occidentalis,Other,,8,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Cat-facing Insects,Cat-facing Insects,Other,,17,ArVida 70 WP; Avalaire Acetamip 70 WP; A122.03; ADA 11280 Insecticide; A122.05,Review needed - unclear target type,,,,,
Cat-facing Insects (plant bug,Cat-facing Insects (plant bug,Insect,,8,Liberty Acetamip 30 SG; Omni Brand Aceta 30 SG,,,,,,
Cat-facing insects (suppression),Cat-facing insects (suppression),Other,,4,ASSAIL® 70 WP Insecticide,Review needed - unclear target type,,,,,
Cat-facing insects (tarnished plant bug,Cat-facing insects (tarnished plant bug,Insect,,4,Enkounter Insecticide,,,,,,
Cat-facing insects (tarnished plant bug; stinkbug),Cat-facing insects (tarnished plant bug; stinkbug),Insect,,1,AG35814 R334.2 70 WP Insecticide,,,,,,
Catalpa sphinx moth,Caterpillars/Moths,Insect,,2,Bonide Systemic Insect Control,,,,,,
Catchfly,Flies,Insect,,6,Velpar® L CU; Tide Hexazinone 75 WDG; Velpar DF CU,,,,,,
Catchweed,Weeds,Weed,,3,IMAZETHAPYR 240 SL,,,,,,
catchweed,Weeds,Weed,,11,F7127 SE HERBICIDE; BCP258H_3 HERBICIDE,,,,,,
Catchweed bedstraw (Cleavers),Weeds,Weed,,2,OBTAIN 40% WDG Herbicide,,,,,,
Caterpillars,Caterpillars/Moths,Insect,,448,AG35814 C 8.5SL Insecticide; Acetamiprid Concentrate Insecticide; Aerosol NEU1161 RTU; A103.04; 0.3% Bifenthrin Liquid Concentrate,,,,,,
Caterpillars (including tent),Caterpillars/Moths,Insect,,21,Real-Kill Rose & Garden Insect Spray II,,,,,,
Caterpillars (leaf-feeding),Caterpillars/Moths,Insect,,12,SAFER BRAND 3-IN-1 RTU II,,,,,,
Caterpillars & moths,Caterpillars/Moths,Insect,,9,Ninja Neem; CG Neem Oil Cold Pressed,,,,,,
caterpillars and loopers,Caterpillars/Moths,Insect,,2,Sphynx; MGK - 2905,,,,,,
Caterpillars/Loopers,Caterpillars/Moths,Insect,,21,GEMSEI,,,,,,
Catfacing Insects,Catfacing Insects,Other,,1,Lannate LV Insecticide,Review needed - unclear target type,,,,,
Catfacing Insects (Plant Bugs and Stink Bugs),Catfacing Insects (Plant Bugs and Stink Bugs),Insect,,3,Methomyl 90 WSP; Lannate SP; METHOMYL 29 SL Insecticide,,,,,,
Catsear,Catsear,Other,,9,OBTAIN 40% WDG Herbicide; A313.01; Comet Selective Herbicide; LPI.A011; Liberty Fluroxypyr Herbicide,Review needed - unclear target type,,,,,
Cavity spot,Leaf Spot,Disease,,5,Theia Fungicide; CX-9030; Serifel Biofungicide; GH DNMT; CX-9032,,,,,,
Cedar Apple Rust,Rust,Disease,,62,Avalaire Cyprodinil + Difenoconazole; A253.08; Arkos; Cueva 2.4 Copper Soap; A253.05 [Vango ESQ],,,,,,
Cedar apple rust,Rust,Disease,,66,A20259 Crop; A253.01; Aprovia Fungicide; A228.03; A19649 Crop,,,,,,
Cedar Apple Rust (Gymnosporangium juniperi-virginianae),Rust,Disease,,2,Procure 50WDG,,,,,,
Cedar apple rust (suppression),Rust,Disease,,2,Merivon Xemium Brand Fungicide,,,,,,
Cedar-Apple Rust,Rust,Disease,,25,ADAMENT 50 WG Fungicide; BACIX; ARMOUR-Zen 15%; DISTINGUISH 480 SC FUNGICIDE; Armour-Zen,,,,,,
Cedar-apple Rust,Rust,Disease,,1,Sulfur Spray APK,,,,,,
Cedar-apple rust,Rust,Disease,,26,Kresoxim-Methyl 50 WDG Fungicide; Sovran fungicide; Elite® 45 DF Foliar Fungicide; A224.03; Buzz Ultra DF,,,,,,
Cedar-apple rust (Gymnosporangium juniperi-virginianae),Rust,Disease,,1,TEBUCON 45 DF FUNGICIDE,,,,,,
Cedar-Apple Rust (suppression),Rust,Disease,,2,REGALIA® 16 Biofungicide,,,,,,
Celery Leaf Tier,Celery Leaf Tier,Other,,18,F9114 EC Insecticide; A198.01; A198.03; F6126 EW Insecticide; Ax Zeta-Cyper 915,Review needed - unclear target type,,,,,
Celery leaf tier,Celery leaf tier,Other,,8,FASTAC™ EC; F9043 EC Insecticide; Fastac CS Insecticide,Review needed - unclear target type,,,,,
celery leaf tier,celery leaf tier,Other,,1,Aceto Bifenthrin 2E,Review needed - unclear target type,,,,,
Celery leaf tiers,Celery leaf tiers,Other,,2,RD 1648 Insecticide; RD 1649 Insecticide,Review needed - unclear target type,,,,,
Celery leaftier,Celery leaftier,Other,,49,Condor XL; Crymax WP; Baythroid XL; Condor WP; Baythroid 2 Emulsifiable Pyrethroid Insecticide,Review needed - unclear target type,,,,,
Celery Looper,Celery Looper,Other,,32,EVERCIDE® Emulsifiable Concentrate 28061; Bonide® RTU Vegetable & Ornamental Insect Spray; EVERCIDE Emulsifiable Concentrate 2668; Dipel WP Home & Garden Insecticide; BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE,Review needed - unclear target type,,,,,
Centipedes,Centipedes,Other,,54,LILLY MILLER® Grasshopper & Earwig Bait; Real-Kill Rose & Garden Insect Spray II; 10% Sevin Granules; The Andersons 8.0% Granular Carbaryl; Synergy Brand,Review needed - unclear target type,,,,,
Central California – Brown Rot,Rot Diseases,Disease,,1,OLD BRIDGE COPPER SULFATE,,,,,,
Cephalosporium,Cephalosporium,Other,,5,Pentathlon DF Fungicide Dispersible Granules; PHOENIX WINGMAN; Pentathlon LF,Review needed - unclear target type,,,,,
Cephalosporium Hypocotyl Rot,Rot Diseases,Disease,,3,Topsin M 85WDG; AX TM-540; LPI Thio-M 70 WSB,,,,,,
Ceratocystis Canker,Ceratocystis Canker,Disease,,3,IMISOL; Companion® Maxx Liquid Biological Fungicide,,,,,,
Cercospora,Cercospora,Other,,26,Pentathlon DF Fungicide Dispersible Granules; ELIXIR™ fungicide; A295.01; Manzate Flowable Fungicide; Penncozeb 4FL Flowable Fungicide,Review needed - unclear target type,,,,,
Cercospora (Cercospora arachidicola),Cercospora (Cercospora arachidicola),Other,,2,PFS 516 SYSTEMIC FUNGICIDE BACTERICIDE,Review needed - unclear target type,,,,,
Cercospora arachidicola,Cercospora arachidicola,Other,,18,PFS 56 Systemic Fungicide Bactericide,Review needed - unclear target type,,,,,
Cercospora capsici,Cercospora capsici,Other,,1,FLU+DFO,Review needed - unclear target type,,,,,
Cercospora Early Blight,Blight,Disease,,1,Equus 500 ZN,,,,,,
Cercospora Early blight,Blight,Disease,,1,Pegasus 82.5 DF,,,,,,
Cercospora early blight,Blight,Disease,,1,Chlorothalonil 6,,,,,,
Cercospora Leaf Spot,Leaf Spot,Disease,,330,A20259 Crop; A225.09; A19649 Crop; A-Zox 50WDG; A225.13,,,,,,
Cercospora leaf spot,Leaf Spot,Disease,,263,A20259 Crop; A225.05; A19649 Crop; 26/36 Fungicide; A20560 Crop Fungicide,,,,,,
cercospora leaf spot,Leaf Spot,Disease,,3,Dithane M45; Dithane F-45; Enable 2F,,,,,,
Cercospora leaf spot (C. brassicicola),Leaf Spot,Disease,,1,Revus Top,,,,,,
Cercospora leaf spot (C. capsici),Leaf Spot,Disease,,1,Revus Top,,,,,,
Cercospora leaf spot (C. citrullina),Leaf Spot,Disease,,1,Revus Top,,,,,,
Cercospora Leaf Spot (Frogeye Spot),Leaf Spot,Disease,,2,ELIXIR™ fungicide,,,,,,
Cercospora leaf spot (Frogeye Spot),Leaf Spot,Disease,,2,Koverall Fungicide,,,,,,
Cercospora leaf spot (suppression),Leaf Spot,Disease,,3,LIBERTY PYRAC-TRZ; Avalaire Cyprodinil + Fludioxonil; Cannonball WG,,,,,,
Cercospora Leaf Spots,Leaf Spot,Disease,,2,A225.13; AZteroid FC 3.3,,,,,,
Cercospora Leafspot,Leaf Spot,Disease,,18,BLUE SHIELD DF; Basic Copper 50 HB; Copper Hydroxide 20% DF; Armour-Zen; AmeriCop 40 DF,,,,,,
Cercospora leafspot,Leaf Spot,Disease,,13,FLU+DFO; A20259 Crop; A23089 Fungicide; A253.01; Avalaire Difenoconazole EC,,,,,,
Cercospora spp.,Cercospora spp.,Other,,9,Nufarm Propiconazole SPC 14.3 MEC Fungicide; Pageant Intrinsic Brand Fungicide; Alamo Fungicide; Nufarm Propiconazole SPC EC Fungicide; PROPICONAZOLE 14.3 SELECT,Review needed - unclear target type,,,,,
Cercospora spp. (Brown Leaf Spot),Leaf Spot,Disease,,4,Willowood Propicon Turf; Banner MAXX II; Propizol; Propiconazole 1.3 ME T&O,,,,,,
Cercospora spp. (Brown leaf spot),Leaf Spot,Disease,,4,A223.06; Colony; Propicon 14.3 ME; Quali-Pro Propiconazole 14.3 EC,,,,,,
Cercosporidium personatum,Cercosporidium personatum,Other,,18,PFS 56 Systemic Fungicide Bactericide,Review needed - unclear target type,,,,,
Cereal Beetles,Beetles,Insect,,4,Entech Fog-10 Space Spray; PYRENONE 3-15 Space Spray,,,,,,
Cereal leaf beetle,Beetles,Insect,,1,Bifenture EC Agricultural Insecticide,,,,,,
Cerospora Leaf Spot,Leaf Spot,Disease,,1,Tegrol® 3.6F,,,,,,
certain annual broadleaf weeds,Broadleaf Weeds,Weed,,3,Pennant Magnum Herbicide,,,,,,
Certain annual grasses and broadleaf weeds,Broadleaf Weeds,Weed,,3,Sonalan HFP,,,,,,
Certain aphids,Aphids,Insect,,5,Triangle 435 Soluble Oil,,,,,,
Certain broadleaf weed species,Broadleaf Weeds,Weed,,11,PRE-M 3.3 EC Turf Herbicide,,,,,,
Certain broadleaf weeds,Broadleaf Weeds,Weed,,161,AX PENDI-MET; A335.11; Avalaire S-Moc II; AX S-MET Herbicide; AX PENDI H2O,,,,,,
certain broadleaf weeds,Broadleaf Weeds,Weed,,26,Prowl H2O Herbicide; IPIMETHALIN-L,,,,,,
Certain Caterpillars,Caterpillars/Moths,Insect,,2,Soydorm Oil,,,,,,
Certain caterpillars,Caterpillars/Moths,Insect,,6,Golden Pest Spray Oil,,,,,,
Certain grasses,Grasses,Weed,,3,AX PENDI-MET,,,,,,
Certain other Scale Insects,Certain other Scale Insects,Insect,,1,Britz Supreme Spray Oil,,,,,,
Certain Seed and Root Maggots,Certain Seed and Root Maggots,Insect,,1,Cruiser Insecticide,,,,,,
Certain soil-borne diseases,Certain soil-borne diseases,Disease,,1,Tri-Form 40 EC,,,,,,
Chafers,Chafers,Other,,6,Mallet 2.5 G Insecticide; FYFANON MALATHION INSECTICIDE; AzaGuard,Review needed - unclear target type,,,,,
chafers,chafers,Other,,2,Fyfanon 57% EC,Review needed - unclear target type,,,,,
Chaff,Chaff,Other,,2,Damoil Supreme,Review needed - unclear target type,,,,,
Chaff Scale,Chaff Scale,Insect,,1,SUPER 94 SPRAY OIL,,,,,,
Chainspotted Geometer,Leaf Spot,Disease,,1,BioproTeK,,,,,,
Chamomile,Chamomile,Other,,34,Clean Slate®; CLOPYR AG; Avalaire Clopyralid 3 SL; A363.01; A339.01,Review needed - unclear target type,,,,,
chamomile,chamomile,Other,,3,GF-2551; GF-1966; BCP258H_3 HERBICIDE,Review needed - unclear target type,,,,,
Charcoal Rot,Rot Diseases,Disease,,24,Liberty TM 70 WSB; LPI Thio-M 70 WSB; Avalaire T-Methyl 4.5F; Flutriafol 250 g/L SC; AX TM 70 WSB,,,,,,
Charcoal rot,Rot Diseases,Disease,,21,Bacillus subtilis CX-9090; CX-9030; GH DNMT; CX-9032; Liberty TM 540,,,,,,
Charcoal Rot (Macrophomina),Rot Diseases,Disease,,1,Quali-Pro™ 4.5,,,,,,
Cheatgrass,Grasses,Weed,,12,F7127 SE HERBICIDE; Tide Hexazinone 75 WDG,,,,,,
Cheatgrass/Downy brome,Cheatgrass/Downy brome,Disease,,11,Battalion Pro,,,,,,
Checkered White,Checkered White,Other,,1,Tempo Concentrate Insecticide,Review needed - unclear target type,,,,,
Cheese Mites,Mites,Insect,,33,A.C. Southern Spray-Tox Insecticide; ENTECH FOG-3; Entech Fog-10 Space Spray; PYRENONE 3-15 Space Spray; PRENTOX® FOG and MILL SPRAY,,,,,,
Cheese Skippers,Cheese Skippers,Other,,4,Entech Fog-10 Space Spray; PYRENONE 3-15 Space Spray,Review needed - unclear target type,,,,,
Cheeseweed,Weeds,Weed,,10,A229.02; Galigan 2E,,,,,,
cheeseweed,Weeds,Weed,,15,GoalTender,,,,,,
Cheeseweed (Malva),Weeds,Weed,,9,BLASTWAVE 480 SC; Galigan® H2O,,,,,,
Cheeseweed (malva),Weeds,Weed,,8,Willowood OxyFlo 2EC,,,,,,
Cheeseweed species,Weeds,Weed,,10,F7127 SE HERBICIDE,,,,,,
Chemical thinning,Chemical thinning,Other,,28,OR-CAL NAA K SALT 200; Fruitone-N; POMAXA Plant Growth Regulator; OR-CAL NAA K SALT 800; Fruitone L,Review needed - unclear target type,,,,,
Chenopodium album,Chenopodium album,Other,,11,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Cherry,Cherry,Other,,45,BN-1437; DREXEL IMITATOR 53.8%; Arsenal 75 SG Herbicide; CSI 19-313E Glufosinate 5.78%; Alligare Imazapyr 4 SL,Review needed - unclear target type,,,,,
Cherry (except black),Cherry (except black),Other,,2,CrossCut Select,Review needed - unclear target type,,,,,
Cherry brown rot,Rot Diseases,Disease,,1,ALONGLIFE™,,,,,,
Cherry Fruit Flies,Cherry Fruit Flies,Other,,24,Voliam Xpress; Besiege Insecticide; CYMATE 267; Chemsico Insecticide Concentrate 22L; Dimethoate 4E,Review needed - unclear target type,,,,,
Cherry fruit flies,Cherry fruit flies,Other,,15,Dimethoate 2.67; Drexel Malathion 50% Emulsifiable; Drexel Dimethoate LV-2.67; Drexel Dimethoate LV-4; DREXEL DIMETHOATE 4EC,Review needed - unclear target type,,,,,
cherry fruit flies,cherry fruit flies,Other,,4,Agrisolutions Dimate 4E,Review needed - unclear target type,,,,,
Cherry Fruit Fly,Flies,Insect,,198,A198.01; A122.03; A198.03; ADA 11280 Insecticide; A122.05,,,,,,
Cherry fruit fly,Flies,Insect,,169,Advise 2FL; A1110.06; Actara 240 SC; A171.06™; A177.04,,,,,,
cherry fruit fly,Flies,Insect,,19,A1101.04; Malathion 50% EC; Fyfanon 57% EC; Meth-O-Gas 100; DECLARE,,,,,,
Cherry Fruit Fly (Adult),Flies,Insect,,59,CSI Lambda 1EC; Avalaire Lambda-Cy 1 EC; Adama Lambda CY VC 223; Chemsico Insecticide Concentrate 25LG; Actylis Lambda-Cy Insecticide,,,,,,
Cherry fruit fly (adult),Flies,Insect,,6,AZ Lambda 2ME,,,,,,
Cherry fruit fly (Eastern and Western),Flies,Insect,,1,Prey 1.6 Insecticide,,,,,,
Cherry Fruit Fly (Suppression),Flies,Insect,,1,Sharda Clothianidin 23% SC (CRASH SC),,,,,,
Cherry Fruit Fly (suppression),Flies,Insect,,1,V-10170 2.13 SC Insecticide,,,,,,
Cherry fruit fly (suppression),Flies,Insect,,2,Radiant SC,,,,,,
cherry fruit fly (suppression),Flies,Insect,,3,Blackhawk,,,,,,
Cherry fruit fly maggot,Flies,Insect,,5,EI-796 Insecticide; IMI 1.47% Concentrate,,,,,,
Cherry Fruit Fly species,Flies,Insect,,12,KAISO 24 WG INSECTICIDE; Endigo® ZCX,,,,,,
Cherry Fruit Fly species (Adult),Flies,Insect,,92,Endigo® ZC; Karate 1 EC Insecticide; A115.04; A115.02; Cyhella Insecticide,,,,,,
Cherry Fruit Fly species (adult),Flies,Insect,,6,LPI Lambda-Cyhalothrin,,,,,,
cherry fruit fly species (adult),Flies,Insect,,6,LIBERTY LAMBDA 2 ME,,,,,,
Cherry Fruit Fly species (Adults),Flies,Insect,,6,Sharda Lambda-Cyhalothrin 120 EC,,,,,,
Cherry Fruit Fly spp.,Flies,Insect,,4,Lambda Cyhalothrin 12.7% EC,,,,,,
Cherry Fruit Fly spp. (Adult),Flies,Insect,,24,Lambdastar Insecticide; Lambda Select; LAMBDA-CY AG; Lambda-Cy 250 CS Insecticide (Alternate Brand Name: Warlord Insecticide); Chemsico Insecticide Concentrate 25L,,,,,,
Cherry Fruit Fly spp. (adult),Flies,Insect,,24,Bonide Lambda 0.025% Dust; Chemsico Insecticide Concentrate 63G; Chemsico Insecticide Dust L; Chemsico Insecticide Concentrate 5L; CHEMSICO INSECTICIDE CONCENTRATE 8G,,,,,,
cherry fruit fly spp. (adult),Flies,Insect,,11,CHA 1525-03; CHA 1550-03,,,,,,
Cherry fruit worm,Cherry fruit worm,Insect,,4,Retriever® Insecticide; Cheminova Malathion 57% Low VOC; FYFANON MALATHION INSECTICIDE,,,,,,
cherry fruit worm,cherry fruit worm,Insect,,1,Fyfanon 57% EC,,,,,,
Cherry fruit worms,Cherry fruit worms,Insect,,1,Drexel Malathion 5EC,,,,,,
Cherry fruitflies,Cherry fruitflies,Other,,1,Drexel Diazinon Insecticide,Review needed - unclear target type,,,,,
Cherry Fruitfly,Flies,Insect,,1,Argyle Insecticide,,,,,,
Cherry Fruitworm,Cherry Fruitworm,Insect,,206,A118.02; A118.01; A122.03; A118.04; A122.05,,,,,,
Cherry fruitworm,Cherry fruitworm,Insect,,116,A1110.06; A197.05; A132.01; Altacor Insect Control; Avalaire Methoxy 2F,,,,,,
cherry fruitworm,cherry fruitworm,Insect,,9,Blackhawk; A1101.04; Thwartex; SpinTor 2SC; Methoxyfenozide 2SC,,,,,,
Cherry fruitworm (Grapholita packardi),Cherry fruitworm (Grapholita packardi),Insect,,2,Confirm® 2F Insecticide,,,,,,
Cherry fruitworm species,Cherry fruitworm species,Insect,,2,A152.03,,,,,,
Cherry fruitworms,Cherry fruitworms,Insect,,12,MGK 74731; Drexel Diazinon Insecticide; Drexel Carbaryl 4L; MGK® 74721; MGK® 7478,,,,,,
Cherry laurel leaftier,Cherry laurel leaftier,Other,,2,Bonide Systemic Insect Control,Review needed - unclear target type,,,,,
Cherry Leaf Rot,Rot Diseases,Disease,,19,BACIX; ARMOUR-Zen 15%; Milagrum Plus; Armour-Zen; Mildore™ Max,,,,,,
Cherry Leaf Spot,Leaf Spot,Disease,,237,A223.02; A223.05; A225.11; A224.03; A225.08,,,,,,
Cherry leaf spot,Leaf Spot,Disease,,114,A201.04; A265.02; A265.01; AKOTOP 85 WG; A201.06,,,,,,
cherry leaf spot,Leaf Spot,Disease,,1,RH-144228 Fungicide,,,,,,
Cherry leaf spot (Blumeriella jaapi),Leaf Spot,Disease,,1,Ensign 82.5%,,,,,,
Cherry Leaf Spot (Blumeriella jaapii),Leaf Spot,Disease,,1,TEBUCON 45 DF FUNGICIDE,,,,,,
Cherry leaf spot (Blumeriella jaapii),Leaf Spot,Disease,,1,HELMSTAR PLUS SC,,,,,,
Cherry Leaf Spot (Coccomyces),Leaf Spot,Disease,,1,Quali-Pro™ 4.5,,,,,,
Cherry leaf spot (Coccomyces),Leaf Spot,Disease,,1,Unicorn Multi-Purpose Fungicide,,,,,,
Cherry Leaf Spot (post harvest),Leaf Spot,Disease,,1,CP Multi-Purpose Fungicide Ready-To-Use,,,,,,
Cherry leaf spot (post harvest),Leaf Spot,Disease,,1,CAPTAN GOLD 4L,,,,,,
Cherry Leafminer,Leafminers,Insect,,1,Danitol 2.4 EC Spray,,,,,,
Cherry Leafspot,Leaf Spot,Disease,,5,Arysta Propiconazole 41.8 EC Fungicide; Bumper 41 VC,,,,,,
Cherry Maggot,Cherry Maggot,Insect,,1,SoluNeem,,,,,,
Cherry maggot,Cherry maggot,Insect,,6,Sevin Brand 85 Sprayable Carbaryl Insecticide WPSS; SEVIN 80 Solupak; Sevin XLR PLUS Carbaryl Insecticide,,,,,,
Cherry maggots,Cherry maggots,Insect,,4,Drexel Carbaryl 4L; Fortune Aza 3% EC,,,,,,
Cherry Powdery Mildew,Powdery Mildew,Disease,,13,AzoxyTebuZone; SHARDA AZOXY 11% + TEB 18.35% SC; Azoxystrobin 200 g/L + Tebuconazole 300 g/L SC Fungicide; AzoxyTebu; A225.11,,,,,,
Cherry powdery mildew,Powdery Mildew,Disease,,3,GCS Tebustrobin SC; MCW 710 SC; HAG-R-00452,,,,,,
Cherry powdery mildew (Podosphaera clandestina,Powdery Mildew,Disease,,1,HELMSTAR PLUS SC,,,,,,
Cherry Rust,Rust,Disease,,1,Vendex 50WP Miticide,,,,,,
Cherry Rust Mite,Mites,Insect,,1,Diazinon AG600 WBC Insecticide,,,,,,
Cherry slug,Cherry slug,Other,,1,Fyfanon ULV AG,Review needed - unclear target type,,,,,
Chestnut leafroller species,Leafrollers,Insect,,2,AZ Lambda 2ME,,,,,,
chestnut leafroller species,Leafrollers,Insect,,2,LIBERTY LAMBDA 2 ME,,,,,,
Chestnut weevil,Chestnut weevil,Insect,,6,MGK 74731; MGK® 74721,,,,,,
chewing pests,chewing pests,Other,,6,A24901A CYNT RTU,Review needed - unclear target type,,,,,
Chickweed,Weeds,Weed,,109,A363.01; BCP258H_3 HERBICIDE; BLASTWAVE 480 SC; A313.01; A335.05,,,,,,
chickweed,Weeds,Weed,,37,Chemsico Herbicide Formula D; Quali-Pro Dithiopyr L; KERB 3.3 SC; Dimension® 0.25G,,,,,,
