Original_Target,Count,Examples,Suggested_Simplified_Target,Target_Type,Notes
California orangedog,4,Metabrom 100; SEVIN 80 Solupak; Sevin XLR PLUS Carbaryl Insecticide,,,
California pear slug,2,M-97-009 Kaolin; Acti-Min FE,,,
California pearslug,2,Sevin XLR PLUS Carbaryl Insecticide,,,
California red scale,23,APPLAUD 70DF Insect Growth Regulator; Fyfanon 57% EC; 14ACP703 SC Insecticide/Miticide; BYI 8330 150 OD Insecticide; FYFANON MALATHION INSECTICIDE,,,
California red scale (suppression),2,Transform® CA; Closer SC,,,
California red scales,2,Prentox 5 Lb. Malathion Spray; Drexel Malathion 5EC,,,
California redscale (crawler),3,LAMBDA 0.5% CONCENTRATE; Chemsico Insecticide Concentrate 16L; Dominion 1.47% Plus Lambda 0.5% Liquid,,,
California redscale (crawlers),2,LAMBDA 0.002% READY TO USE,,,
California vole,13,Zinc Phosphide Concentrate; WILCO ZINC AG BAIT,,,
California voles (M. californicus),2,Zinc Phosphide on Oats,,,
Camphorweed,9,BLASTWAVE 480 SC,,,
Campyloma,9,Super Insecticidal Soap Concentrate,,,
Campylomma (mullein plant bug),2,Enkounter Insecticide,,,
Canada,24,Clean Slate®; Biscayne Herbicide; Garrison Herbicide; A339.01; GCS Clopy 360SL,,,
Canada (suppression only),1,LPI.A026,,,
Canada Thistle,18,NFA-0020110; Avalaire Clopyralid 3 SL; Dri-Clean C Herbicide; PRUVIN® Herbicide; GCS Clopy 360SL,,,
Canada Thistle (suppression),1,Avalaire Clopyralid 3 SL,,,
Canada thistle,68,Alligare Clopyralid 3 SL; CLOPYR AG; A363.01; A339.01; Clopyralid,,,
Canada thistle (suppression only),2,CLOPYR AG,,,
Canada thistle (suppression),2,GF-1966; LIBERTY CLOP,,,
Canadian Thistle,1,"2,4-D Amine 4",,,
Canadian thistle,1,"Avalaire 2,4-D Amine",,,
Canarygrass,3,IMAZETHAPYR 240 SL,,,
Candidatus Liberibacter spp.,1,ENV503 Biofungicide Wettable Powder,,,
Cane Blight,4,Hydrite PAA HP 15:22 AG; LIME-SULFUR SOLUTION AGRICULTURAL FUNGICIDE; SULFORIX,,,
Cane Canker,3,Lilly Miller KOP-R-SPRAY Concentrate; LIQUI-COP; COPPER-COUNT-N,,,
Cane Rust,2,VPG Myclobutanil Concentrate,,,
Cane Spot,98,Axill Propiconazole 3.6EC; Basic Copper 50 HB; AG Copp 75; Badge SC; Badge X2,,,
Cane and Leaf Rust,8,MYCLOBUTANIL 40WP AG; MYCLOBUTANIL 20EW AG; NUP-14068 Fungicide; AX MYCLO 19.7EC AG,,,
Cane and Stem Canker),1,Ziram 76DF Fungicide,,,
Cane and leaf rust,6,Myclobutanil 2% Homeowner; INDICT Fungicide; Rally 40WSP,,,
Cane and leaf rust (Kuehneola spp.),2,Avalaire Myclobutanil 40 WSP,,,
Cane anthracnose,1,NORDOX Super Micronized Fungicide,,,
Cane blight,1,NORDOX Super Micronized Fungicide,,,
Cane botrytis,5,ENDORSE Water Dispersible Granules,,,
Cane canker,4,NORDOX 30/30 WG; KOP-AM Complex; Nordox 75 WG,,,
Cane rust,1,Chemsico Fungicide M,,,
Cane spot,24,ALONGLIFE™; Agri-Life; Bonide Copper Spray or Dust; Funguran Progress; Cueva 2.4 Copper Soap,,,
Cane spots,2,KOP-5,,,
Canker,21,Avalaire Cyprodinil + Difenoconazole; A253.08; Companion® Maxx Liquid Biological Fungicide; Carb-O-Nator; A253.05 [Vango ESQ],,,
Canker (suppression),1,CS 2005,,,
Canker and Twig Blight,1,Prothioconazole + Azoxystrobin,,,
Cankers,34,Nufarm T-Methyl SPC 50 WSB Fungicide; Nufarm T-Methyl SPC 4.5 F Fungicide; 3336 EG; 3336 F; OHP 4.5 L,,,
Cankers and Diebacks,8,Tee-Off 4.5F,,,
Cankerworm,20,BioproTeK; Danitol 2.4 EC Spray; Thuricide 48 LV; Lepinox® WDG; ACECAP Systemic Insecticide Implants,,,
Cankerworm (Spring & Fall),18,Condor WP; Cutlass; Condor XL,,,
Cankerworm (Spring and Fall),7,ORTHENE 97 PELLETS,,,
Cankerworm species,6,A152.03; Proclaim Insecticide; A152.02,,,
Cankerworms,145,BioproTeK; Bioprotec PLUS; Aerosol NEU1161 RTU; Azatin® XL; BIOBIT HP BIOLOGICAL INSECTICIDE WETTABLE POWDER,,,
Cankerworms (Fall),1,Hi-Yield 10% Permethrin Concentrate,,,
Canopy growth,2,Flurprimidol Solution,,,
Canopy shaping,1,A573.01,,,
Capsella bursa-pastoris,9,F6285 4F CAL Herbicide,,,
Carex spp.,9,F6285 4F CAL Herbicide; Rotam Mesotrione 480 SC,,,
Caribbean Black Scale,14,Anarchy 30 SG Insecticide; ArVida 70 WP; AG35814 R334.2 70 WP Insecticide; ASSAIL® 70 WP Insecticide; ASSAIL® 30 SG Insecticide,,,
Caribbean Fruit Fly,1,Danitol 2.4 EC Spray,,,
Caribbean black scale,1,Enkounter Insecticide,,,
Carmen mite,1,Sysstem Ready BLUE,,,
Carmine,5,2016BIFENTHRIN; FG14002-80; Discipline 2EC,,,
Carmine Mite,233,ACETO BIFENTHRIN 2 EC; A110.04; A110.03; A110.08; A110.05,,,
Carmine Spider Mite,25,Aceto Etoxazole 72% WDG Miticide; Avalaire Etox 72 WSB; Aceto Etoxazole 72% WSP Miticide; A221.01; Aceto Etoxazole 72% WP WSB Miticide,,,
Carmine and Pacific Spider),3,2016BIFENTHRIN; FG14002-80,,,
Carmine and Twospotted Spider),1,FG14002-80,,,
Carmine mite,27,Bifenture EC Agricultural Insecticide; HERO Insecticide; Liberty BIFEN-IMIDA 2-1 SC; F6126 EW Insecticide; Sharda Bifenthrin 2E,,,
Carmine mites,2,Nufarm Abamectin 0.15 EC Insecticide; AgSaver Abamectin 0.15 EC,,,
Carmine spider mite,54,A131.01; A131.02; A131.04; ABACUS Agricultural Miticide/Insecticide; A131.03,,,
Carmine spider mites,1,Nufarm Abamectin 0.15 EC Insecticide,,,
Carmine),1,Discipline 2EC,,,
Carolina,4,Dimension® 0.25G,,,
Carolina Geranium,6,A313.01; LPI.A011; Comet Selective Herbicide,,,
Carolina Grasshopper,1,TNO RTU,,,
Carolina geranium,14,Willowood OxyFlo 2EC; Quali-Pro Dithiopyr L; OBTAIN 40% WDG Herbicide; Liberty Fluroxypyr Herbicide,,,
Carpenter Ants,16,Synergy Brand,,,
Carpenter and Pharaoh ants),3,Diafil® 610,,,
Carpetweed,144,Avalaire Metribuzin 4 F; A342.01; A229.02; A342.02; A335.05,,,
Carpini Spider,1,Vendex 50WP Miticide,,,
Carrot,4,Velpar DF CU; Velpar® L CU,,,
Carrot Weevil,32,EVERCIDE® Emulsifiable Concentrate 28061; Bonide® RTU Vegetable & Ornamental Insect Spray; Diafil® 610; EVERCIDE Emulsifiable Concentrate 2668; BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE,,,
Carrot Weevils,18,LN 1% PY,,,
Carrot rust fly,1,Bonide Vegetable Floral Dust,,,
Carrot weevil,10,MGK 74731; MGK® 74721; Cheminova Malathion 57% Low VOC; FYFANON MALATHION INSECTICIDE; Malathion 8 Aquamul,,,
Carrot weevils,2,Drexel Malathion 5EC; Envi EC-X Emulsifiable Concentrate Insecticide,,,
Carrot weevils (adults),2,RD 1648 Insecticide; RD 1649 Insecticide,,,
Casebearer,2,ACECAP Systemic Insecticide Implants,,,
Casebearers,6,DEBUG OPTIMO; Allityn Insect Repellent; Bonide Systemic Insect Control,,,
Cashew leaffooted bug,2,AZ Lambda 2ME,,,
Cassia occidentalis,8,F6285 4F CAL Herbicide,,,
Cat-facing Insects,17,ArVida 70 WP; Avalaire Acetamip 70 WP; A122.03; ADA 11280 Insecticide; A122.05,,,
Cat-facing Insects (plant bug,8,Liberty Acetamip 30 SG; Omni Brand Aceta 30 SG,,,
Cat-facing insects (suppression),4,ASSAIL® 70 WP Insecticide,,,
Cat-facing insects (tarnished plant bug,4,Enkounter Insecticide,,,
Cat-facing insects (tarnished plant bug; stinkbug),1,AG35814 R334.2 70 WP Insecticide,,,
Catalpa sphinx moth,2,Bonide Systemic Insect Control,,,
Catchfly,6,Velpar® L CU; Tide Hexazinone 75 WDG; Velpar DF CU,,,
Catchweed,3,IMAZETHAPYR 240 SL,,,
Catchweed bedstraw (Cleavers),2,OBTAIN 40% WDG Herbicide,,,
Caterpillars,448,AG35814 C 8.5SL Insecticide; Acetamiprid Concentrate Insecticide; Aerosol NEU1161 RTU; A103.04; 0.3% Bifenthrin Liquid Concentrate,,,
Caterpillars & moths,9,Ninja Neem; CG Neem Oil Cold Pressed,,,
Caterpillars (including tent),21,Real-Kill Rose & Garden Insect Spray II,,,
Caterpillars (leaf-feeding),12,SAFER BRAND 3-IN-1 RTU II,,,
Caterpillars/Loopers,21,GEMSEI,,,
Catfacing Insects,1,Lannate LV Insecticide,,,
Catfacing Insects (Plant Bugs and Stink Bugs),3,Methomyl 90 WSP; Lannate SP; METHOMYL 29 SL Insecticide,,,
Catsear,9,OBTAIN 40% WDG Herbicide; A313.01; Comet Selective Herbicide; LPI.A011; Liberty Fluroxypyr Herbicide,,,
Cavity spot,5,Theia Fungicide; CX-9030; Serifel Biofungicide; GH DNMT; CX-9032,,,
Cedar Apple Rust,62,Avalaire Cyprodinil + Difenoconazole; A253.08; Arkos; Cueva 2.4 Copper Soap; A253.05 [Vango ESQ],,,
Cedar Apple Rust (Gymnosporangium juniperi-virginianae),2,Procure 50WDG,,,
Cedar apple rust,66,A20259 Crop; A253.01; Aprovia Fungicide; A228.03; A19649 Crop,,,
Cedar apple rust (suppression),2,Merivon Xemium Brand Fungicide,,,
Cedar-Apple Rust,25,ADAMENT 50 WG Fungicide; BACIX; ARMOUR-Zen 15%; DISTINGUISH 480 SC FUNGICIDE; Armour-Zen,,,
Cedar-Apple Rust (suppression),2,REGALIA® 16 Biofungicide,,,
Cedar-apple Rust,1,Sulfur Spray APK,,,
Cedar-apple rust,26,Kresoxim-Methyl 50 WDG Fungicide; Sovran fungicide; Elite® 45 DF Foliar Fungicide; A224.03; Buzz Ultra DF,,,
Cedar-apple rust (Gymnosporangium juniperi-virginianae),1,TEBUCON 45 DF FUNGICIDE,,,
Celery Leaf Tier,18,F9114 EC Insecticide; A198.01; A198.03; F6126 EW Insecticide; Ax Zeta-Cyper 915,,,
Celery Looper,32,EVERCIDE® Emulsifiable Concentrate 28061; Bonide® RTU Vegetable & Ornamental Insect Spray; EVERCIDE Emulsifiable Concentrate 2668; Dipel WP Home & Garden Insecticide; BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE,,,
Celery leaf tier,8,FASTAC™ EC; F9043 EC Insecticide; Fastac CS Insecticide,,,
Celery leaf tiers,2,RD 1648 Insecticide; RD 1649 Insecticide,,,
Celery leaftier,49,Condor XL; Crymax WP; Baythroid XL; Condor WP; Baythroid 2 Emulsifiable Pyrethroid Insecticide,,,
Centipedes,54,LILLY MILLER® Grasshopper & Earwig Bait; Real-Kill Rose & Garden Insect Spray II; 10% Sevin Granules; The Andersons 8.0% Granular Carbaryl; Synergy Brand,,,
Central California – Brown Rot,1,OLD BRIDGE COPPER SULFATE,,,
Cephalosporium,5,Pentathlon DF Fungicide Dispersible Granules; PHOENIX WINGMAN; Pentathlon LF,,,
Cephalosporium Hypocotyl Rot,3,Topsin M 85WDG; AX TM-540; LPI Thio-M 70 WSB,,,
Ceratocystis Canker,3,IMISOL; Companion® Maxx Liquid Biological Fungicide,,,
Cercospora,26,Pentathlon DF Fungicide Dispersible Granules; ELIXIR™ fungicide; A295.01; Manzate Flowable Fungicide; Penncozeb 4FL Flowable Fungicide,,,
Cercospora (Cercospora arachidicola),2,PFS 516 SYSTEMIC FUNGICIDE BACTERICIDE,,,
Cercospora Early Blight,1,Equus 500 ZN,,,
Cercospora Early blight,1,Pegasus 82.5 DF,,,
Cercospora Leaf Spot,330,A20259 Crop; A225.09; A19649 Crop; A-Zox 50WDG; A225.13,,,
Cercospora Leaf Spot (Frogeye Spot),2,ELIXIR™ fungicide,,,
Cercospora Leaf Spots,2,A225.13; AZteroid FC 3.3,,,
Cercospora Leafspot,18,BLUE SHIELD DF; Basic Copper 50 HB; Copper Hydroxide 20% DF; Armour-Zen; AmeriCop 40 DF,,,
Cercospora arachidicola,18,PFS 56 Systemic Fungicide Bactericide,,,
Cercospora capsici,1,FLU+DFO,,,
Cercospora early blight,1,Chlorothalonil 6,,,
Cercospora leaf spot,263,A20259 Crop; A225.05; A19649 Crop; 26/36 Fungicide; A20560 Crop Fungicide,,,
Cercospora leaf spot (C. brassicicola),1,Revus Top,,,
Cercospora leaf spot (C. capsici),1,Revus Top,,,
Cercospora leaf spot (C. citrullina),1,Revus Top,,,
Cercospora leaf spot (Frogeye Spot),2,Koverall Fungicide,,,
Cercospora leaf spot (suppression),3,LIBERTY PYRAC-TRZ; Avalaire Cyprodinil + Fludioxonil; Cannonball WG,,,
Cercospora leafspot,13,FLU+DFO; A20259 Crop; A23089 Fungicide; A253.01; Avalaire Difenoconazole EC,,,
Cercospora spp.,9,Nufarm Propiconazole SPC 14.3 MEC Fungicide; Pageant Intrinsic Brand Fungicide; Alamo Fungicide; Nufarm Propiconazole SPC EC Fungicide; PROPICONAZOLE 14.3 SELECT,,,
Cercospora spp. (Brown Leaf Spot),4,Willowood Propicon Turf; Banner MAXX II; Propizol; Propiconazole 1.3 ME T&O,,,
Cercospora spp. (Brown leaf spot),4,A223.06; Colony; Propicon 14.3 ME; Quali-Pro Propiconazole 14.3 EC,,,
Cercosporidium personatum,18,PFS 56 Systemic Fungicide Bactericide,,,
Cereal Beetles,4,Entech Fog-10 Space Spray; PYRENONE 3-15 Space Spray,,,
Cereal leaf beetle,1,Bifenture EC Agricultural Insecticide,,,
Cerospora Leaf Spot,1,Tegrol® 3.6F,,,
Certain Caterpillars,2,Soydorm Oil,,,
Certain Seed and Root Maggots,1,Cruiser Insecticide,,,
Certain annual grasses and broadleaf weeds,3,Sonalan HFP,,,
Certain aphids,5,Triangle 435 Soluble Oil,,,
Certain broadleaf weed species,11,PRE-M 3.3 EC Turf Herbicide,,,
Certain broadleaf weeds,161,AX PENDI-MET; A335.11; Avalaire S-Moc II; AX S-MET Herbicide; AX PENDI H2O,,,
Certain caterpillars,6,Golden Pest Spray Oil,,,
Certain grasses,3,AX PENDI-MET,,,
Certain other Scale Insects,1,Britz Supreme Spray Oil,,,
Certain soil-borne diseases,1,Tri-Form 40 EC,,,
Chafers,6,Mallet 2.5 G Insecticide; FYFANON MALATHION INSECTICIDE; AzaGuard,,,
Chaff,2,Damoil Supreme,,,
Chaff Scale,1,SUPER 94 SPRAY OIL,,,
Chainspotted Geometer,1,BioproTeK,,,
Chamomile,34,Clean Slate®; CLOPYR AG; Avalaire Clopyralid 3 SL; A363.01; A339.01,,,
Charcoal Rot,24,Liberty TM 70 WSB; LPI Thio-M 70 WSB; Avalaire T-Methyl 4.5F; Flutriafol 250 g/L SC; AX TM 70 WSB,,,
Charcoal Rot (Macrophomina),1,Quali-Pro™ 4.5,,,
Charcoal rot,21,Bacillus subtilis CX-9090; CX-9030; GH DNMT; CX-9032; Liberty TM 540,,,
Cheatgrass,12,F7127 SE HERBICIDE; Tide Hexazinone 75 WDG,,,
Cheatgrass/Downy brome,11,Battalion Pro,,,
Checkered White,1,Tempo Concentrate Insecticide,,,
Cheese Mites,33,A.C. Southern Spray-Tox Insecticide; ENTECH FOG-3; Entech Fog-10 Space Spray; PYRENONE 3-15 Space Spray; PRENTOX® FOG and MILL SPRAY,,,
Cheese Skippers,4,Entech Fog-10 Space Spray; PYRENONE 3-15 Space Spray,,,
Cheeseweed,10,A229.02; Galigan 2E,,,
Cheeseweed (Malva),9,BLASTWAVE 480 SC; Galigan® H2O,,,
Cheeseweed (malva),8,Willowood OxyFlo 2EC,,,
Cheeseweed species,10,F7127 SE HERBICIDE,,,
Chemical thinning,28,OR-CAL NAA K SALT 200; Fruitone-N; POMAXA Plant Growth Regulator; OR-CAL NAA K SALT 800; Fruitone L,,,
Chenopodium album,11,F6285 4F CAL Herbicide,,,
Cherry,45,BN-1437; DREXEL IMITATOR 53.8%; Arsenal 75 SG Herbicide; CSI 19-313E Glufosinate 5.78%; Alligare Imazapyr 4 SL,,,
Cherry (except black),2,CrossCut Select,,,
Cherry Fruit Flies,24,Voliam Xpress; Besiege Insecticide; CYMATE 267; Chemsico Insecticide Concentrate 22L; Dimethoate 4E,,,
Cherry Fruit Fly,198,A198.01; A122.03; A198.03; ADA 11280 Insecticide; A122.05,,,
Cherry Fruit Fly (Adult),59,CSI Lambda 1EC; Avalaire Lambda-Cy 1 EC; Adama Lambda CY VC 223; Chemsico Insecticide Concentrate 25LG; Actylis Lambda-Cy Insecticide,,,
Cherry Fruit Fly (Suppression),1,Sharda Clothianidin 23% SC (CRASH SC),,,
Cherry Fruit Fly (suppression),1,V-10170 2.13 SC Insecticide,,,
Cherry Fruit Fly species,12,KAISO 24 WG INSECTICIDE; Endigo® ZCX,,,
Cherry Fruit Fly species (Adult),92,Endigo® ZC; Karate 1 EC Insecticide; A115.04; A115.02; Cyhella Insecticide,,,
Cherry Fruit Fly species (Adults),6,Sharda Lambda-Cyhalothrin 120 EC,,,
Cherry Fruit Fly species (adult),6,LPI Lambda-Cyhalothrin,,,
Cherry Fruit Fly spp.,4,Lambda Cyhalothrin 12.7% EC,,,
Cherry Fruit Fly spp. (Adult),24,Lambdastar Insecticide; Lambda Select; LAMBDA-CY AG; Lambda-Cy 250 CS Insecticide (Alternate Brand Name: Warlord Insecticide); Chemsico Insecticide Concentrate 25L,,,
Cherry Fruit Fly spp. (adult),24,Bonide Lambda 0.025% Dust; Chemsico Insecticide Concentrate 63G; Chemsico Insecticide Dust L; Chemsico Insecticide Concentrate 5L; CHEMSICO INSECTICIDE CONCENTRATE 8G,,,
Cherry Fruitfly,1,Argyle Insecticide,,,
Cherry Fruitworm,206,A118.02; A118.01; A122.03; A118.04; A122.05,,,
Cherry Leaf Rot,19,BACIX; ARMOUR-Zen 15%; Milagrum Plus; Armour-Zen; Mildore™ Max,,,
Cherry Leaf Spot,237,A223.02; A223.05; A225.11; A224.03; A225.08,,,
Cherry Leaf Spot (Blumeriella jaapii),1,TEBUCON 45 DF FUNGICIDE,,,
Cherry Leaf Spot (Coccomyces),1,Quali-Pro™ 4.5,,,
Cherry Leaf Spot (post harvest),1,CP Multi-Purpose Fungicide Ready-To-Use,,,
Cherry Leafminer,1,Danitol 2.4 EC Spray,,,
Cherry Leafspot,5,Arysta Propiconazole 41.8 EC Fungicide; Bumper 41 VC,,,
Cherry Maggot,1,SoluNeem,,,
Cherry Powdery Mildew,13,AzoxyTebuZone; SHARDA AZOXY 11% + TEB 18.35% SC; Azoxystrobin 200 g/L + Tebuconazole 300 g/L SC Fungicide; AzoxyTebu; A225.11,,,
Cherry Rust,1,Vendex 50WP Miticide,,,
Cherry Rust Mite,1,Diazinon AG600 WBC Insecticide,,,
Cherry brown rot,1,ALONGLIFE™,,,
Cherry fruit flies,15,Dimethoate 2.67; Drexel Malathion 50% Emulsifiable; Drexel Dimethoate LV-2.67; Drexel Dimethoate LV-4; DREXEL DIMETHOATE 4EC,,,
Cherry fruit fly,169,Advise 2FL; A1110.06; Actara 240 SC; A171.06™; A177.04,,,
Cherry fruit fly (Eastern and Western),1,Prey 1.6 Insecticide,,,
Cherry fruit fly (adult),6,AZ Lambda 2ME,,,
Cherry fruit fly (suppression),2,Radiant SC,,,
Cherry fruit fly maggot,5,EI-796 Insecticide; IMI 1.47% Concentrate,,,
Cherry fruit worm,4,Retriever® Insecticide; Cheminova Malathion 57% Low VOC; FYFANON MALATHION INSECTICIDE,,,
Cherry fruit worms,1,Drexel Malathion 5EC,,,
Cherry fruitflies,1,Drexel Diazinon Insecticide,,,
Cherry fruitworm,116,A1110.06; A197.05; A132.01; Altacor Insect Control; Avalaire Methoxy 2F,,,
Cherry fruitworm (Grapholita packardi),2,Confirm® 2F Insecticide,,,
Cherry fruitworm species,2,A152.03,,,
Cherry fruitworms,12,MGK 74731; Drexel Diazinon Insecticide; Drexel Carbaryl 4L; MGK® 74721; MGK® 7478,,,
Cherry laurel leaftier,2,Bonide Systemic Insect Control,,,
Cherry leaf spot,114,A201.04; A265.02; A265.01; AKOTOP 85 WG; A201.06,,,
Cherry leaf spot (Blumeriella jaapi),1,Ensign 82.5%,,,
Cherry leaf spot (Blumeriella jaapii),1,HELMSTAR PLUS SC,,,
Cherry leaf spot (Coccomyces),1,Unicorn Multi-Purpose Fungicide,,,
Cherry leaf spot (post harvest),1,CAPTAN GOLD 4L,,,
Cherry maggot,6,Sevin Brand 85 Sprayable Carbaryl Insecticide WPSS; SEVIN 80 Solupak; Sevin XLR PLUS Carbaryl Insecticide,,,
Cherry maggots,4,Drexel Carbaryl 4L; Fortune Aza 3% EC,,,
Cherry powdery mildew,3,GCS Tebustrobin SC; MCW 710 SC; HAG-R-00452,,,
Cherry powdery mildew (Podosphaera clandestina,1,HELMSTAR PLUS SC,,,
Cherry slug,1,Fyfanon ULV AG,,,
Chestnut leafroller species,2,AZ Lambda 2ME,,,
Chestnut weevil,6,MGK 74731; MGK® 74721,,,
Chickweed,109,A363.01; BCP258H_3 HERBICIDE; BLASTWAVE 480 SC; A313.01; A335.05,,,
Chickweed (common),2,Rim 25 Herbicide,,,
Chiggers,26,Trilogy XL-PY; Real-Kill Rose & Garden Insect Spray II; Ortho ZBP Granules,,,
Chili thrips,1,QRD 452 (Requiem EC),,,
Chili thrips (Scirtothrips dorsalis Hood),6,LN 1% PY,,,
Chilli Thrips,4,S-1812 PPG,,,
Chilli thrips,5,LEVERAGE 2.7 Suspension Emulsion Insecticide; FDF 50 SL Concentrate; Terpenoid Blend QRD 460 EC,,,
Chilli thrips (foliage feeding thrips only),4,LEVERAGE 360 Insecticide; A177.04,,,
Chinch Bug,169,Avalaire Lambda-Cy 1 EC; Adama Lambda CY VC 223; A115.04; A115.02; Actylis Lambda-Cy Insecticide,,,
Chinch Bugs,65,Ortho Bug B Gon/Home Defense–RTS/Concentrate; Ferti-lome® Liquid Carbaryl Home Garden Spray; HD Indoor & Outdoor Insect Killer; Chemsico Insecticide Concentrate 22L; 0.3% Bifenthrin Liquid Concentrate,,,
Chinch bug,15,Drexel L-C Insecticide; F9043 EC Insecticide; HERO Insecticide; F6126 EW Insecticide; Athena Insecticide,,,
Chinch bugs,85,Ampl er; Chemsico Aerosol Insecticide GSF; Liberty Bifen SC; LN 1% PY; GEMSEI,,,
Chinquapin navel orangeworm,2,AZ Lambda 2ME,,,
Chloridea virescens,12,Surtivo,,,
Chocolate Moths,33,A.C. Southern Spray-Tox Insecticide; ENTECH FOG-3; Entech Fog-10 Space Spray; PYRENONE 3-15 Space Spray; PRENTOX® FOG and MILL SPRAY,,,
Choke Cherry,1,Brush-B-Gon Poison Ivy & Poison Oak Killer,,,
Chrysanthemum aphid,1,Tempo Concentrate Insecticide,,,
Chrysodeixis includens,12,Surtivo,,,
Cicada,5,EVERCIDE® Emulsifiable Concentrate 28061,,,
Cicadas,69,Bonide Permakil 25; Ecto B715 Insecticide; Chemsico Aerosol Insecticide GSF; Chemsico Lawn Insect Spray; Chemsico Insecticide Concentrate 22L,,,
Cicadas (Locust),1,Bonide Eight Insect Control Yard & Garden Ready To Spray,,,
Cigarette Beetle,2,Premium Dairy Aerosol,,,
Cigarette Beetles,38,A.C. Southern Spray-Tox Insecticide; ENTECH FOG-3; MGK AgriPest Cropfume P-H with Pyrethrins/PBO; Entech Fog-10 Space Spray; PRENTOX® FOG and MILL SPRAY,,,
Cigarette beetle,1,Metabrom 100,,,
Cinquefoil,6,Velpar® L CU; Tide Hexazinone 75 WDG; Velpar DF CU,,,
Citricola,3,SUPER 94 SPRAY OIL; Damoil Supreme,,,
Citricola Scale,37,Anarchy 30 SG Insecticide; ArVida 70 WP; AG35814 R334.2 70 WP Insecticide; ASSAIL® 70 WP Insecticide; ASSAIL® 30 SG Insecticide,,,
Citricola scale,25,Altus; Akari 5SC Miticide/Insecticide; APPLAUD 70DF Insect Growth Regulator; 14ACP703 SC Insecticide/Miticide; AKOLA,,,
Citricola scale (suppression),2,Transform® CA; Closer SC,,,
Citricola scales,2,Prentox 5 Lb. Malathion Spray; Drexel Malathion 5EC,,,
Citriola Scale,1,Britz 415 Supreme Spray Oil,,,
Citrocloa Scale,2,Malathion 5,,,
Citrocola Scale,2,LIME-SULFUR SOLUTION AGRICULTURAL FUNGICIDE; Leaf Life Gavicide Green 415,,,
Citrus,1,Drexel Suffa,,,
Citrus Black Flies,4,"SPI Permethrin Home, Garden & Livestock Insect Killer; PERMICIDE 2.5% CONCENTRATE; Ecto B715 Insecticide; CT 10 Concentrate",,,
Citrus Black Fly,14,Avalaire Pyriprox 0.86 EC; Esteem 35 WP; AX PYRIPROXYFEN 0.86 EC; A118.04; AVALAIRE PYRIPROXYFEN 0.86 EC,,,
Citrus Black Spot,1,Sharda Bos. 25.2% + Pyra. 12.8% WG,,,
Citrus Blackfly,10,Danitol 2.4 EC Spray; A118.02; AX PYRIPROXYFEN 35 WSB; ACECAP Systemic Insecticide Implants; Acephate® 97UP Insecticide,,,
Citrus Blast,1,HML Silco,,,
Citrus Bud Mite,17,IAP Summer 415 Spray Oil; Averland FC; IAP 440 Spray Oil; HI Supreme Spray Oil; F9318,,,
Citrus Canker,27,Biorend Cu; Copper Hydroxide 20% DF; Companion® Maxx Liquid Biological Fungicide; Badge X2; Actigard 50WG Plant Activator,,,
Citrus Canker (Suppression Only),1,Cuprofix Ultra 40 Disperss,,,
Citrus Canker (Suppression only),1,AG Copp 75,,,
Citrus Canker (Suppression),1,HIDRO CUP,,,
Citrus Canker (Xanthomonas citri),5,Vismax Specialty,,,
Citrus Canker (suppression only),2,BASIC COPPER 53; COC WP,,,
Citrus Canker (suppression),11,Basic Copper 50 HB; Blue Shield WP; 3 LB. COPPER FLOWABLE FUNGICIDE; AmeriCop 40 DF; COPPER HYDROXIDE 10% LIQUID,,,
Citrus Cutworm,35,BioproTeK; Bioprotec PLUS; BMP 123 (2X WP); BMP 123 (48 LC); AX Methomyl 29LV Insecticide,,,
Citrus Cutworms,6,Ferti-lome® Liquid Carbaryl Home Garden Spray; Dibrom 8 Emulsive,,,
Citrus Flat Mite,10,ACME Wettable Dusting Sulfur; Liberty 440 Supreme Spray Oil; Danitol 2.4 EC Spray; PureSpray Spray Oil 10E; Miller’s Garden Sulphur,,,
Citrus Flat Mite (False Spider Mite),2,Sharda Spirodiclofen 23.5% SC,,,
Citrus Foot Rot,6,AX MEFENOXAM; NUP-19057; ULTRA FLOURISH Agricultural Fungicide; VCP-026; Mefenoxam 4ME,,,
Citrus Greening,2,Vismax Injection,,,
Citrus Leafminer,63,A167.02; Anarchy 30 SG Insecticide; A118.02; AG35814 R334.2 70 WP Insecticide; A118.04,,,
Citrus Leafminer (Phyllocnistis citrella),6,Tacoma Ag Diflubenzuron 80WSG; Micromite 80WG; A167.08,,,
Citrus Leafminers,1,EVERGREEN Crop Protection EC 60-6,,,
Citrus Mealybug,14,Anarchy 30 SG Insecticide; ArVida 70 WP; AG35814 R334.2 70 WP Insecticide; ASSAIL® 70 WP Insecticide; ASSAIL® 30 SG Insecticide,,,
Citrus Mites,1,BONIDE® HORTICULTURAL AND DORMANT SPRAY OIL,,,
Citrus Nematode,30,VBC-90062 Nematicide; OutReach SC Nematicide,,,
Citrus Pealminer,1,Danitol 2.4 EC Spray,,,
Citrus Peel Miner,14,A167.02; Ax Diflu WSG; Avalaire Diflubenzuron 2 L; AX DIFLU 2L IGR; DIMILIN® 2L,,,
