Simplified_Target,Target_Type,Total_Count,Original_Targets
imported fire ant,Insect,8,imported fire ant
Bacterial Ring,Disease,8,Bacterial Ring
Gymnosporangium,Other,8,Gymnosporangium
musk thistle,Weed,8,musk thistle
Acalypha virginica,Other,8,Acalypha virginica
Persian,Other,8,Persian
Anoda cristata,Other,8,Anoda cristata
Cabbage looper (Trichoplusia ni),Other,8,Cabbage looper (Trichoplusia ni)
Pear leaf midge,Insect,8,Pear leaf midge
Ethylene induced disorders,Other,7,Ethylene induced disorders
Lilac borer,Insect,7,Lilac borer
Fruit set improvement,Other,7,Fruit set improvement
Vine desiccation,Other,7,Vine desiccation
Terrapin Scale,Insect,7,Terrapin Scale
Bedstraw (cleavers),Other,7,Bedstraw (cleavers)
Enhancing bud and flower development,Other,7,Enhancing bud and flower development
Lepidopteran Larvae,Insect,7,Lepidopteran Larvae
chinch bug,Insect,7,chinch bug
Apple maggot (adult),Insect,7,Apple maggot (adult)
cicadas,Other,7,cicadas
cross-striped cabbage worms,Insect,7,cross-striped cabbage worms
Shot‑Hole,Other,7,Shot‑Hole
Vinegar Flies (Adults),Other,7,Vinegar Flies (Adults)
Lichen,Other,7,Lichen
Spiny Amaranth,Insect,7,Spiny Amaranth
Dogwood borer,Insect,7,Dogwood borer
Fungus gnats (larvae only),Insect,7,Fungus gnats (larvae only)
Pecan Stem Phylloxeria,Other,7,Pecan Stem Phylloxeria
Rootworm spp.,Insect,7,Rootworm spp.
Root-lesion nematode,Disease,7,Root-lesion nematode
Lecanium Scale (crawlers),Insect,7,Lecanium Scale (crawlers)
Various listed insects,Other,7,Various listed insects
Box Elder Bug,Insect,7,Box Elder Bug
Brown scale,Insect,7,Brown scale
White Clover,Weed,7,White Clover
Yellowheaded fireworm,Insect,7,Yellowheaded fireworm
Orange dog worm,Insect,7,Orange dog worm
Monilinia laxa,Other,7,Monilinia laxa
Broomsedge,Weed,7,Broomsedge
Pestalotia,Other,7,Pestalotia
Pharaoh),Other,7,Pharaoh)
Cladosporium spp.,Other,7,Cladosporium spp.
Elm spanworm,Insect,7,Elm spanworm
Colletotrichum,Other,7,Colletotrichum
Turnip,Other,7,Turnip
Fireworm (suppression),Insect,7,Fireworm (suppression)
Scales (Crawlers),Insect,7,Scales (Crawlers)
Scales (Hard & Soft),Insect,7,Scales (Hard & Soft)
Scales (except Black or Snow),Insect,7,Scales (except Black or Snow)
Musk,Other,7,Musk
Obscure Scale,Insect,7,Obscure Scale
Soft brown scale,Insect,7,Soft brown scale
Wild Buckwheat,Other,7,Wild Buckwheat
False chinch bugs,Insect,7,False chinch bugs
Phylloxera (aerial form only),Other,7,Phylloxera (aerial form only)
Alfalfa,Other,7,Alfalfa
Phytophthora spp,Other,7,Phytophthora spp
tansy,Other,7,tansy
Phylloxera spp,Other,7,Phylloxera spp
Plant growth promotion,Insect,7,Plant growth promotion
alfalfa looper,Other,7,alfalfa looper
Mimosa Webworms,Insect,7,Mimosa Webworms
Alfalfa Loopers,Other,7,Alfalfa Loopers
European Chafer,Other,7,European Chafer
Lygus (plant bugs),Insect,7,Lygus (plant bugs)
Bagrada Bugs,Insect,7,Bagrada Bugs
Watermelon Bacterial Fruit Blotch (suppression),Disease,7,Watermelon Bacterial Fruit Blotch (suppression)
Common sunflower,Other,7,Common sunflower
wild-proso,Other,7,wild-proso
Thinning and return bloom,Other,7,Thinning and return bloom
Watermelon bacterial fruit blotch,Disease,7,Watermelon bacterial fruit blotch
Porophyllum ruderale,Other,7,Porophyllum ruderale
Ponderosa Pine Needle Miner,Insect,7,Ponderosa Pine Needle Miner
Citrus psyllid,Other,7,Citrus psyllid
bagworms,Insect,7,bagworms
Midges (biting and non-biting),Insect,7,Midges (biting and non-biting)
Sheep flies,Other,7,Sheep flies
San Jose Scale (Crawler),Insect,7,San Jose Scale (Crawler)
Sharpshooter spp.,Other,7,Sharpshooter spp.
Pepper Maggot,Insect,7,Pepper Maggot
Southern Corn Rootworm (adult),Insect,7,Southern Corn Rootworm (adult)
Southern Blue-Green Citrus Root Weevil,Insect,7,Southern Blue-Green Citrus Root Weevil
Cankerworm (Spring and Fall),Insect,7,Cankerworm (Spring and Fall)
Black dot disease,Disease,7,Black dot disease
Douglas Fir Needle Midge,Insect,7,Douglas Fir Needle Midge
Forbes Scale,Insect,7,Forbes Scale
Silverleaf whiteflies (nymphs),Insect,7,Silverleaf whiteflies (nymphs)
Mycosphaerella caryigena,Other,7,Mycosphaerella caryigena
Vine Decline,Other,7,Vine Decline
Ant species,Insect,7,Ant species
Cabbage /. Copers,Other,7,Cabbage /. Copers
Replanting interval,Insect,7,Replanting interval
Leaf Roller Eggs,Insect,7,Leaf Roller Eggs
Improve seed fill & development,Other,7,Improve seed fill & development
Promote plant growth,Insect,7,Promote plant growth
leaftiers,Other,7,leaftiers
Horn and heel flies,Other,7,Horn and heel flies
Spittle bugs,Insect,7,Spittle bugs
Pythium damping-off (Pythium spp.),Other,7,Pythium damping-off (Pythium spp.)
Cristulariella spp.,Other,7,Cristulariella spp.
Giant Ragweed,Insect,7,Giant Ragweed
Stable flies,Other,7,Stable flies
Cross-striped cabbageworms,Insect,7,Cross-striped cabbageworms
Garden symphylans,Other,7,Garden symphylans
Hybrid seed production,Other,7,Hybrid seed production
Head and leaf drop,Other,7,Head and leaf drop
Indian mustard,Other,7,Indian mustard
imported cabbage worms,Insect,7,imported cabbage worms
Horse flies,Other,7,Horse flies
Cross-stripped Cabbage Worms,Insect,7,Cross-stripped Cabbage Worms
Houseflies,Other,7,Houseflies
Root Weevil Adults,Insect,7,Root Weevil Adults
filbertworm,Insect,7,filbertworm
Red rice,Other,7,Red rice
harlequin bugs,Insect,7,harlequin bugs
Gleosporium,Other,7,Gleosporium
Glassy-winged sharpshooter,Other,7,Glassy-winged sharpshooter
Desiccation,Other,7,Desiccation
potato tuberworm,Insect,7,potato tuberworm
Grape Phylloxera,Other,7,Grape Phylloxera
Staphylococcus aureus,Other,7,Staphylococcus aureus
Fairy Ring (suppression),Other,6,Fairy Ring (suppression)
Bacterial Spot (Xanthomonas spp.),Insect,6,Bacterial Spot (Xanthomonas spp.)
Mildew,Disease,6,Mildew
Blueberry spanworm,Insect,6,Blueberry spanworm
Cylindrocarpon dieback,Other,6,Cylindrocarpon dieback
Salsify,Other,6,Salsify
plant bug,Insect,6,plant bug
Marestail,Other,6,Marestail
Dormancy enhancement,Other,6,Dormancy enhancement
and Stem Canker,Disease,6,and Stem Canker
Malva,Other,6,Malva
Bacterial Speck (Pseudomonas syringae),Disease,6,Bacterial Speck (Pseudomonas syringae)
White Grub larvae,Insect,6,White Grub larvae
inchworms,Insect,6,inchworms
Cross striped cabbageworms,Insect,6,Cross striped cabbageworms
Bacterial canker (Pseudomonas spp.),Disease,6,Bacterial canker (Pseudomonas spp.)
Pepper Maggot (Adults),Insect,6,Pepper Maggot (Adults)
Armored Scales (suppression),Insect,6,Armored Scales (suppression)
algae,Other,6,algae
Omnivorous,Other,6,Omnivorous
Other methyl eugenol-responding Bactrocera species,Other,6,Other methyl eugenol-responding Bactrocera species
tree borer spp.,Insect,6,tree borer spp.
black cherry,Other,6,black cherry
Onion Maggots (Flies),Insect,6,Onion Maggots (Flies)
Mexican,Other,6,Mexican
Periodical Cicadas,Other,6,Periodical Cicadas
Wheat (suppression),Other,6,Wheat (suppression)
Common Mullein,Other,6,Common Mullein
Meadow Spittlebugs,Insect,6,Meadow Spittlebugs
slime build-up,Other,6,slime build-up
Podosphaera spp.,Other,6,Podosphaera spp.
Other Lepidopteran pests,Other,6,Other Lepidopteran pests
Uniform ripening,Other,6,Uniform ripening
Common Lambquarters,Other,6,Common Lambquarters
Silverleaf whiteflies,Other,6,Silverleaf whiteflies
Common Groundsel,Other,6,Common Groundsel
Root Weevil Complex,Insect,6,Root Weevil Complex
Stink bugs (suppression),Insect,6,Stink bugs (suppression)
Alternaria alternata,Other,6,Alternaria alternata
Plum curculios,Other,6,Plum curculios
Eutypa dieback,Other,6,Eutypa dieback
vegetable weevil,Insect,6,vegetable weevil
Cross-Striped Cabbageworms,Insect,6,Cross-Striped Cabbageworms
Seedcorn Maggots,Insect,6,Seedcorn Maggots
Purple Top,Other,6,Purple Top
Elm spanworms,Insect,6,Elm spanworms
Buckhorn Plantain,Insect,6,Buckhorn Plantain
Orange dogs,Other,6,Orange dogs
Cankerworm species,Insect,6,Cankerworm species
White Cockle,Other,6,White Cockle
Botryosphaeria spp.,Other,6,Botryosphaeria spp.
Spring cankerworm,Insect,6,Spring cankerworm
Fourlined Leaf Bugs,Insect,6,Fourlined Leaf Bugs
Prickly,Other,6,Prickly
Oidium spp.),Other,6,Oidium spp.)
Cabbage looper larvae (Trichoplusia ni),Insect,6,Cabbage looper larvae (Trichoplusia ni)
Cocklebur (suppression),Other,6,Cocklebur (suppression)
Physalospora vaccinii,Other,6,Physalospora vaccinii
Cucumber mosaic virus,Disease,6,Cucumber mosaic virus
Scales (except black or snow),Insect,6,Scales (except black or snow)
Cockle,Other,6,Cockle
sucking pests,Other,6,sucking pests
Eastern black nightshade,Other,6,Eastern black nightshade
Nightshade spp.,Other,6,Nightshade spp.
Sandbur spp. (suppression),Other,6,Sandbur spp. (suppression)
Scales (crawlers),Insect,6,Scales (crawlers)
Mummyberry (Monilinia),Other,6,Mummyberry (Monilinia)
heath,Other,6,heath
Transplant shock,Insect,6,Transplant shock
Non-Biting Midges,Insect,6,Non-Biting Midges
Increase leaf initiation & growth,Other,6,Increase leaf initiation & growth
Soil-borne disease-causing organisms,Disease,6,Soil-borne disease-causing organisms
Phytium spp.,Other,6,Phytium spp.
Trunk canker,Disease,6,Trunk canker
Phytophthora (parasitica),Other,6,Phytophthora (parasitica)
Grape Berry Worm,Insect,6,Grape Berry Worm
Trunk Canker,Disease,6,Trunk Canker
Woody Brush and Vines,Weed,6,Woody Brush and Vines
tall),Other,6,tall)
Narrowleaf Plantain,Insect,6,Narrowleaf Plantain
Tree borer spp.,Insect,6,Tree borer spp.
Strawberry Weevil,Insect,6,Strawberry Weevil
Nematode,Other,6,Nematode
Botrytis cinerea (gray mold),Disease,6,Botrytis cinerea (gray mold)
pecan spittlebug,Insect,6,pecan spittlebug
Ramularia,Other,6,Ramularia
Blossom Worm,Insect,6,Blossom Worm
Trogoderma,Other,6,Trogoderma
Field Horsetail,Other,6,Field Horsetail
Strawberry,Other,6,Strawberry
Xiphinema,Other,6,Xiphinema
Sooty Blotch Complex,Other,6,Sooty Blotch Complex
Armored scale (suppression),Insect,6,Armored scale (suppression)
Sorghum (suppression),Other,6,Sorghum (suppression)
European fruit lecanium scales,Insect,6,European fruit lecanium scales
Carolina Geranium,Other,6,Carolina Geranium
Chafers,Other,6,Chafers
Root Knot nematodes,Other,6,Root Knot nematodes
imported cabbage worm,Insect,6,imported cabbage worm
Cutleaf Primrose,Other,6,Cutleaf Primrose
Storage insects,Other,6,Storage insects
hornworm spp.,Insect,6,hornworm spp.
Sooty blotch disease complex,Disease,6,Sooty blotch disease complex
Tumble mustard,Other,6,Tumble mustard
Oblique Banded,Other,6,Oblique Banded
Sooty blotch complex,Other,6,Sooty blotch complex
Casebearers,Other,6,Casebearers
Fern Scale,Insect,6,Fern Scale
Tumble Mustard,Other,6,Tumble Mustard
Phomopsis stem canker,Disease,6,Phomopsis stem canker
Gnomonia leptostyla,Other,6,Gnomonia leptostyla
Flea hopper,Insect,6,Flea hopper
Oak Root Fungus (Armillaria mellea),Disease,6,Oak Root Fungus (Armillaria mellea)
Yellow Thistle,Weed,6,Yellow Thistle
gray mold,Disease,6,gray mold
Pythium species,Other,6,Pythium species
Most pests and crop conditions,Other,6,Most pests and crop conditions
Most pests and crop conditions (severe infestation),Other,6,Most pests and crop conditions (severe infestation)
False root-knot nematodes,Other,6,False root-knot nematodes
Asian Citrus Psyllid (Diaphorina citri),Other,6,Asian Citrus Psyllid (Diaphorina citri)
Yarrow,Other,6,Yarrow
Biting Midges,Insect,6,Biting Midges
Septoria spp. (Leaf Scorch),Other,6,Septoria spp. (Leaf Scorch)
laconobia fruitworm,Insect,6,laconobia fruitworm
Sericea Lespedeza,Other,6,Sericea Lespedeza
Pecan nut case bearer,Other,6,Pecan nut case bearer
Rhizoctonia stem canker,Disease,6,Rhizoctonia stem canker
navel orange worm,Insect,6,navel orange worm
Potato virus Y,Disease,6,Potato virus Y
Bagrada bugs,Insect,6,Bagrada bugs
Watercress,Other,6,Watercress
Aculus sp.,Other,6,Aculus sp.
Waterhemp (common,Other,6,Waterhemp (common
clogging,Other,6,clogging
wilt,Disease,6,wilt
Velvetleaf (suppression),Other,6,Velvetleaf (suppression)
Corn rootworm (adult),Insect,6,Corn rootworm (adult)
Tansy mustard,Other,6,Tansy mustard
Garden Spurge,Other,6,Garden Spurge
Potato psyllids,Other,6,Potato psyllids
Locust,Other,6,Locust
Leveillula Taurica/Oidiopsis Taurica,Other,6,Leveillula Taurica/Oidiopsis Taurica
Chestnut weevil,Insect,6,Chestnut weevil
psyllid,Other,6,psyllid
Squash Vine Borers,Insect,6,Squash Vine Borers
Tea,Other,6,Tea
Root knot nematodes,Other,6,Root knot nematodes
chewing pests,Other,6,chewing pests
Soybean looper (Psuedoplusia includens),Other,6,Soybean looper (Psuedoplusia includens)
nut fruit tortrix,Other,6,nut fruit tortrix
Rose scale,Insect,6,Rose scale
nut weevil,Insect,6,nut weevil
Corn Rootworm (adult),Insect,6,Corn Rootworm (adult)
Rose scale chafers,Insect,6,Rose scale chafers
Stinging Nettle,Other,6,Stinging Nettle
Citrus Peel Miner (Marmara spp.),Insect,6,Citrus Peel Miner (Marmara spp.)
Stimulate fruit set,Other,6,Stimulate fruit set
Hairy Nightshade (suppression),Other,6,Hairy Nightshade (suppression)
Apple Maggots (Adults),Insect,6,Apple Maggots (Adults)
Prickly Sida,Other,6,Prickly Sida
Root-knot nematode (Meloidogyne spp.),Other,6,Root-knot nematode (Meloidogyne spp.)
Epitrimerus sp.,Other,6,Epitrimerus sp.
Pear slug,Other,6,Pear slug
Blue-Green Citrus Root Weevil,Insect,6,Blue-Green Citrus Root Weevil
Burrowing Nematode,Other,6,Burrowing Nematode
cranberry fruitworm,Insect,6,cranberry fruitworm
Verticillium species,Other,6,Verticillium species
Fusarium species,Other,6,Fusarium species
minor,Other,6,minor
Leaf-footed Bugs,Insect,6,Leaf-footed Bugs
Burning Nettle,Other,6,Burning Nettle
Fungus gnat,Insect,6,Fungus gnat
Barley (suppression),Other,6,Barley (suppression)
Pear Sawflies,Other,6,Pear Sawflies
Pear Psyllids,Other,6,Pear Psyllids
Shothole),Other,6,Shothole)
Apache cicada,Other,6,Apache cicada
Lecanium Scale (Crawlers),Insect,6,Lecanium Scale (Crawlers)
Leaf Footed Bug,Insect,6,Leaf Footed Bug
Ants (on foliage),Insect,6,Ants (on foliage)
Cinquefoil,Other,6,Cinquefoil
Hairy Buttercup,Other,6,Hairy Buttercup
fall cankerworms,Insect,6,fall cankerworms
Peachtree borer,Insect,6,Peachtree borer
Esca Black Measles,Other,6,Esca Black Measles
Pseudomonas syringae v. actinidiae,Other,6,Pseudomonas syringae v. actinidiae
Phytophthora species,Other,6,Phytophthora species
scale,Insect,6,scale
Pseudoperonospora),Other,6,Pseudoperonospora)
Loosening sooty mold,Disease,6,Loosening sooty mold
Shattercane (suppression),Other,6,Shattercane (suppression)
Post-bloom fruit drop,Other,6,Post-bloom fruit drop
Weevil species (Adult),Insect,6,Weevil species (Adult)
Ovulinia,Other,6,Ovulinia
Pacific Spider,Insect,6,Pacific Spider
seed decay,Other,6,seed decay
Root Weevils (Strawberry),Insect,6,Root Weevils (Strawberry)
Penicillium expansum (blue mold),Disease,6,Penicillium expansum (blue mold)
Crop elimination,Other,6,Crop elimination
western tentiform,Other,6,western tentiform
Boisduval Scale,Insect,6,Boisduval Scale
Oyster Shell Scale,Insect,6,Oyster Shell Scale
Botryosphaeria Dieback,Other,6,Botryosphaeria Dieback
Rind worm,Insect,6,Rind worm
Texas panicum (suppression),Other,6,Texas panicum (suppression)
Vascular collapse,Other,6,Vascular collapse
Hemispherical Scale,Insect,6,Hemispherical Scale
Potato Cyst Nematode,Other,6,Potato Cyst Nematode
Ants (except harvester ants,Insect,6,Ants (except harvester ants
flax-leaved,Other,6,flax-leaved
Stubby root nematode,Other,6,Stubby root nematode
Kochia (suppression),Other,6,Kochia (suppression)
Fruit Worms,Insect,6,Fruit Worms
Fruit Worm,Insect,6,Fruit Worm
Common Sunflower (suppression),Other,6,Common Sunflower (suppression)
Cherry maggot,Insect,6,Cherry maggot
Apple pandemis,Other,6,Apple pandemis
Lygus bug (plant bug),Insect,6,Lygus bug (plant bug)
Tessellated Scale,Insect,6,Tessellated Scale
Sowbugs (Pillbugs),Insect,6,Sowbugs (Pillbugs)
first and second instar only,Other,6,first and second instar only
Hemp Dogbane,Other,6,Hemp Dogbane
Seed Corn Maggots,Insect,5,Seed Corn Maggots
oyster shell scale,Insect,5,oyster shell scale
Peachtree borer spp.,Insect,5,Peachtree borer spp.
Anthracnose Fruit Rot and Leaf Spot,Insect,5,Anthracnose Fruit Rot and Leaf Spot
Volunteer alfalfa,Other,5,Volunteer alfalfa
HLB / Citrus Greening (Candidatus Liberibacter asiaticus),Other,5,HLB / Citrus Greening (Candidatus Liberibacter asiaticus)
Phylloxera sp.,Other,5,Phylloxera sp.
Oystershell scale,Insect,5,Oystershell scale
tobacco mosaic virus,Disease,5,tobacco mosaic virus
Grape cane gallmaker (adult),Other,5,Grape cane gallmaker (adult)
vegetable weevil (adult),Insect,5,vegetable weevil (adult)
Field Crickets,Other,5,Field Crickets
Pear Psylia,Other,5,Pear Psylia
Grape cane gallmaker,Other,5,Grape cane gallmaker
Stink Bugs spp.,Insect,5,Stink Bugs spp.
Willowherb,Other,5,Willowherb
Cephalosporium,Other,5,Cephalosporium
Red sprangletop,Other,5,Red sprangletop
Anthracnose leaf and Fruit rot,Insect,5,Anthracnose leaf and Fruit rot
Green peachleaf hoppers,Insect,5,Green peachleaf hoppers
Cabbage Maggots,Insect,5,Cabbage Maggots
Pear scales,Insect,5,Pear scales
Green peach orchid,Other,5,Green peach orchid
Rhizoctonia solani diseases,Disease,5,Rhizoctonia solani diseases
lawn,Other,5,lawn
Ground Squirrels,Vertebrate,5,Ground Squirrels
Weevil species (adults),Insect,5,Weevil species (adults)
Pepper Maggots,Insect,5,Pepper Maggots
Citrus Canker (Xanthomonas citri),Insect,5,Citrus Canker (Xanthomonas citri)
Field sandbur,Other,5,Field sandbur
Strawberry Root Weevil Adult,Insect,5,Strawberry Root Weevil Adult
Elsinoe (spot anthracnose),Insect,5,Elsinoe (spot anthracnose)
Vine diseases following pruning,Disease,5,Vine diseases following pruning
pecan phylloxera spp.,Other,5,pecan phylloxera spp.
Grapevine root borer,Insect,5,Grapevine root borer
Filbert Webworm,Insect,5,Filbert Webworm
Verticillium dahliae,Other,5,Verticillium dahliae
harvester ants and pharaoh ants),Insect,5,harvester ants and pharaoh ants)
Pecan Nut Case-Bearer,Other,5,Pecan Nut Case-Bearer
Shore flies (Scatella spp.),Other,5,Shore flies (Scatella spp.)
Nutsedge (Purple),Weed,5,Nutsedge (Purple)
Phyllosticta vaccinii,Other,5,Phyllosticta vaccinii
leaf mold,Disease,5,leaf mold
Waterhemp (common),Other,5,Waterhemp (common)
Delay rind aging,Other,5,Delay rind aging
Waterhemp common,Other,5,Waterhemp common
European Com Borer,Insect,5,European Com Borer
Waterhemp tall,Other,5,Waterhemp tall
CO2 Injury,Other,5,CO2 Injury
lecanium scale,Insect,5,lecanium scale
Citrus orangedog,Other,5,Citrus orangedog
Fall Cankerworms,Insect,5,Fall Cankerworms
lepidopterous larvae,Insect,5,lepidopterous larvae
Twig borers,Insect,5,Twig borers
White Flies,Other,5,White Flies
Billbugs,Insect,5,Billbugs
Blossom set,Other,5,Blossom set
Greater peachtree borer (Synanthedon exitiosa),Insect,5,Greater peachtree borer (Synanthedon exitiosa)
Seedling damping-off (Rhizoctonia solani),Other,5,Seedling damping-off (Rhizoctonia solani)
Silver Leaf,Other,5,Silver Leaf
Damping off (Pythium spp.),Other,5,Damping off (Pythium spp.)
Blueberry Maggots,Insect,5,Blueberry Maggots
Helminthosporium solani (silver scurf),Other,5,Helminthosporium solani (silver scurf)
Stink Bugs (Including Brown Marmorated Stink Bug),Insect,5,Stink Bugs (Including Brown Marmorated Stink Bug)
juniper scale,Insect,5,juniper scale
